sampleID,read_count,Atopobium_deltae,Atopobium_minutum,Atopobium_parvulum,Atopobium_vaginae,g_Acidaminococcus,g_Acinetobacter,g_Actinobacillus,g_Actinobaculum,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Akkermansia,g_Alistipes,g_Alloprevotella,g_Alloscardovia,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacillus,g_Bacteroides,g_Bergeyella,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Burkholderia.Paraburkholderia,g_Campylobacter,g_Catonella,g_Christensenellaceae_R.7_group,g_Citrobacter,g_Clostridium_sensu_stricto_1,g_Collinsella,g_Coprococcus,g_Corynebacterium,g_Cupriavidus,g_Delftia,g_Dermabacter,g_Dialister,g_Distigma,g_Dorea,g_Enhydrobacter,g_Enterobacter,g_Enterococcus,g_Escherichia.Shigella,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gallicola,g_Gemella,g_Globicatella,g_Granulicatella,g_Haemophilus,g_Halomonas,g_Helcobacillus,g_Helcococcus,g_Helicobacter,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kluyvera,g_Kocuria,g_Lachnoclostridium,g_Lachnospira,g_Lachnospiraceae_FE2018_group,g_Lachnospiraceae_NK4A136_group,g_Lactobacillus,g_Lactococcus,g_Lawsonella,g_Leptotrichia,g_Leucobacter,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Oligella,g_Olsenella,g_Paeniglutamicibacter,g_Parabacteroides,g_Parvimonas,g_Pasteurella,g_Pediococcus,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionibacterium,g_Propionimicrobium,g_Proteus,g_Pseudarthrobacter,g_Pyramidobacter,g_Ralstonia,g_Rhizobium,g_Rikenellaceae_RC9_gut_group,g_Romboutsia,g_Roseburia,g_Rothia,g_Ruminococcaceae_UCG.002,g_Ruminococcaceae_UCG.014,g_Ruminococcus_1,g_Ruminococcus_2,g_Sarcina,g_Scardovia,g_Senegalimassilia,g_Serratia,g_Shewanella,g_Slackia,g_Solobacterium,g_Sphingomonas,g_Sporosarcina,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trichococcus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Variovorax,g_Veillonella,g_Weeksella,g_Zimmermannella,Gardnerella_vaginalis,Lactobacillus_aviarius,Lactobacillus_coleohominis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_equicursoris,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Lactobacillus_kefiranofaciens,Lactobacillus_paracasei_Lactobacillus_rhamnosus,Lactobacillus_pontis,Lactobacillus_reuteri,Lactobacillus_salivarius,Lactobacillus_ultunensis_1,Shuttleworthia_satelles,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
20230322_BC72,24217,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,29,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,10164,13836,0,12,0,0,0,0,0,3,0,0.0053510534279915,0.0512713217260402,0.0313934970693484,0.4280351701008854,0.4256631811841379,0.0372890889929168,0.0819764036888995,0.0639089675728998,0.0124655309634451,0.0099786694934351,0.001743571706545,0.0841303573989447,0.915769864053138,V,0.915769864053138,V
20230322_BC89,23744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,0,12,4,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,1,16,3,0,0,3,4,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,33,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,16356,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,7067,42,0,0,0,0,0,0,0,4,0,0.0012812903557925,0.0242921780821587,0.0305618161536936,0.2462305427895798,0.2564240393436838,0.0260920816004681,0.0588716636849627,0.1127946041171002,0.8591324713050806,0.0352337522545455,0.1009973277864271,0.1130711723468267,0.0938952782432498,IV-C1,0.8591324713050806,IV-C
20230328_BC45,20385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,709,0,1,0,0,0,0,0,0,0,0,0,144,0,0,16211,0,0,0,0,3246,0,0,0,0,0,0,0,0,1,0,0.9364570737872628,0.967651092537328,0.0145890195553538,0.1100321799782554,0.2287867017591923,0.0142922448329277,0.0376840986723203,0.0683606339774468,0.032012038319254,0.0311303781663843,0.0070388554606584,0.0338253211061947,0.0719499462104404,I-B,0.967651092537328,I
20230206_BC08,21504,0,0,0,904,0,0,0,0,0,0,0,0,1,0,0,365,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,1,88,0,0,0,56,0,1,0,0,0,3,1,4,2,230,2,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,0,0,0,0,30,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,235,176,0,3,1078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,6825,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6385,0,0,0,1118,3,3749,0,0,0,0,0,0,5,1,0,0.333741363067042,0.4305465190481519,0.0680647164317576,0.0081529052115362,0.0839367339621981,0.0155237495141329,0.0356291474836189,0.1532268030381747,0.4658189261876758,0.0406825856425272,0.0709876588158193,0.054536776417495,0.2243460262038883,IV-C1,0.4658189261876758,IV-C
20230322_BC71,42236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,4,0,0,0,2,11344,0,6,2292,0,0,0,0,0,0,0,4554,116,0,0,0,0,0,0,0,74,0,0,5,192,0,0,2808,9,0,10335,0,0,0,0,0,0,0,0,59,0,0,1,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,28,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2217,0,0,0,49,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.0002313214353667,0.0008545043620673,0.0004728668310008,0.0001944052496218,0.0006981857728794,0.000605166007992,0.0011139859675537,0.0224547814455399,0.0018895594006947,0.0002792376762557,0.0006193512761946,0.0005506839460303,0.0004271863343374,IV-C0,0.0224547814455399,IV-C
20230322_BC73,25466,0,32,0,1,0,0,0,0,0,120,3,0,0,0,0,3032,0,0,0,1,15,0,2,2,0,0,0,1,0,0,0,7,0,0,130,0,0,0,173,0,0,0,0,0,4044,234,138,7,1452,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,582,0,0,0,3020,13,0,558,7511,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,2875,0,5,0,0,0,0,124,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0.0004344763088337,0.0065535079909679,0.0106239316636444,0.0015635215689068,0.010147982121981,0.050040422263966,0.0303054505854694,0.2025980557409751,0.1555227227154542,0.0104224909176065,0.0325008457342468,0.0304786390135192,0.0062219262012863,IV-C0,0.2025980557409751,IV-C
20230328_BC38,28762,0,0,0,17382,0,0,0,0,0,4,945,0,1,0,0,812,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,3,0,0,193,0,0,0,180,0,0,0,0,0,3,0,0,1,235,0,0,0,596,0,0,11,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,315,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,85,0,6500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.000247944544932,0.0047275679250562,0.0108255620202396,0.001533084419033,0.0138464988053516,0.0647286593876474,0.1564057534845258,0.0445550446632085,0.2140475970151355,0.015306201117047,0.0383537650545222,0.0326646376171279,0.0087017407226405,IV-C1,0.2140475970151355,IV-C
20230328_BC48,5752,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,1,1,0,0,0,0,0,0,0,1,0,0,1018,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,528,0,3954,0,3,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,2,6,1,0,0,0,0,0,0,0,1,0,0.0007414259653077,0.0079226114763744,0.0125088366853212,0.0040303221407711,0.0175174688498944,0.0026241437067996,0.0096986904026926,0.0819098149708947,0.9197712651806292,0.036873145869983,0.1111202146332239,0.1305906318155449,0.0033282444232191,IV-C1,0.9197712651806292,IV-C
20230328_BC47,31012,0,0,0,9,0,0,0,0,3,0,0,0,10,0,0,2192,0,0,0,1,36,0,14,15,0,0,0,0,0,0,0,1,0,0,120,0,0,0,28,0,0,0,0,0,3,1,0,25,41,0,368,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,12,3,25,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,63,9,8,0,0,0,317,4,0,197,0,0,1184,0,0,2,0,0,0,0,25797,0,0,0,0,0,0,0,0,135,0,0.0025458763346153,0.0452478238754138,0.0518570117489737,0.9835467022063414,0.8754556390662215,0.0679847746686855,0.1463567219790023,0.0968823453301374,0.0213173986347667,0.0126501501877356,0.0025055604686301,0.13272824810578,0.2554411646940713,III-A,0.9835467022063414,III
20221229_BC07,41034,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,11,0,0,0,39012,1,0,0,55,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,81,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,211,0,30,0,40,0,0,0,0,0,0,21,0,0,56,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0001309494061342,0.0029489310079816,0.0020597734959616,0.0004076183609294,0.001496421515019,0.000568282244206,0.0009654813738475,0.0400437155309814,0.0141038386615493,0.0038621498302042,0.0023605996088868,0.017588292155236,0.0005572325587593,IV-C0,0.0400437155309814,IV-C
